id|parent_id|d_ats_type_id|rco|cato|name_kz|name_ru|actual
1855|1313|2|0003000000006554|552257100|Шідерті|Шидерты|1
1975|1313|3|0003000000006738|552244000|Қоянды|Қояндинский|1
1979|1975|1|0003000000000052|552244700|Теміртас|Теміртас|1
1980|1975|1|0003000000000053|552244200|Қоянды|Қоянды|1
1990|1975|1|0003000000000054|552244500|Құрылысшы|Құрылысшы|1
2174|2|5|0003000000008474|553200000|Ақтоғай|Актогайский|1
2190|2174|3|0003000000006739|553230000|Ақтоғай|Актогайский|1
2191|2190|1|0003000000000055|553230100|Ақтоғай|Актогай|1
2226|2322|1|0003000000000056|553243600|Әуелбек|Ауельбек|1
2233|2322|1|0003000000000057|553243700|Өтес|Отес|1
2244|2547|1|0003000000000058|553255300|Барлыбай|Барлыбай|1
2262|2174|3|0003000000006741|553239000|Жалаулы|Жалаулинский|1
2265|2262|1|0003000000000059|553239100|Жалаулы|Жалаулы|1
2281|2262|1|0003000000000060|553239200|Балтасап|Балтасап|1
2287|2262|1|0003000000000061|553239300|Қарасу|Карасу|1
2291|2174|3|0003000000006742|553241000|Жолболды|Жолболдинский|1
2294|2291|1|0003000000000062|553241100|Жолболды|Жолболды|1
2309|2291|1|0003000000000063|553241200|Шілікті|Шиликти|1
2313|2291|1|0003000000000064|553241300|Шұға|Шуга|1
2322|2174|3|0003000000006743|553243000|Қараоба|Караобинский|1
2326|2322|1|0003000000000065|553243100|Қараоба|Караоба|1
2347|2322|1|0003000000000066|553243200|Исантерек|Исантерек|1
2352|2322|1|0003000000000067|553243300|Жаңаауыл|Жанааул|1
2367|2547|1|0003000000000070|553255400|Басқамыс|Баскамыс|1
2385|2547|1|0003000000000071|553255600|Қарақоға|Каракога|1
2393|2174|3|0003000000006745|553247000|Қожамжар|Кожамжарский|1
2395|2393|1|0003000000000072|553247100|Қожамжар|Кожамжар|1
2426|2393|1|0003000000000073|553247200|Жамбыл|Жамбыл|1
2431|2393|1|0003000000000074|553247300|Қайран|Кайран|1
2434|2393|1|0003000000000075|553247400|Қараой|Караой|1
2442|2174|3|0003000000006746|553249000|Мүткенов|Муткеновский|1
2449|2442|1|0003000000000076|553249100|Мүткенов|Муткенова|1
2469|2442|1|0003000000000077|553249200|Әбжан|Абжан|1
2474|2442|1|0003000000000078|553249300|Жаңатап|Жанатап|1
2482|2442|1|0003000000000079|553249400|Жаңабет|Жанабет|1
2491|2442|1|0003000000000080|553249500|Естай|Естая|1
2511|2190|1|0003000000000082|553230400|Приреченск|Приреченское|1
2535|2190|1|0003000000000083|553230200|Жоламан|Жоламан|1
2547|2174|3|0003000000006747|553255000|Ақжол|Ақжол|1
2550|2547|1|0003000000000085|553255100|Ақжол|Ақжол|1
2570|2547|1|0003000000000086|553255200|Разумовка|Разумовка|1
2581|2190|1|0003000000000087|553230600|Харьковка|Харьковка|1
2595|2190|1|0003000000000088|553230700|Қарабұзау|Карабузау|1
2606|2262|1|0003000000000089|553239500|Шолақсор|Шолаксор|1
2624|2|5|0003000000008475|553600000|Баянауыл|Баянаульский|1
2635|2624|3|0003000000006750|553630000|Баянауыл|Баянаульский|1
2636|2635|1|0003000000000091|553630400|Шонай|Шонай|1
2670|2635|1|0003000000000092|553630100|Баянауыл|Баянаул|1
2793|2624|3|0003000000006751|553633000|Ақсан|Аксанский|1
2797|2793|1|0003000000000093|553633100|Ақсан|Аксан|1
2815|2793|1|0003000000000094|553633380|Қаражар|Каражар|1
2839|2793|1|0003000000000095|553633800|Жалғыз Қайың|Жалгыз Кайын|1
2893|2624|3|0003000000006752|553637000|Бірлік|Бирликский|1
2894|2893|1|0003000000000096|553637100|Бірлік|Бирлик|1
2973|2894|65|0003000000009483|553637105|Үштөбе|Уштобе|1
3012|2893|1|0003000000000097|553637200|Ақмектеп|Акмектеп|1
3037|2624|3|0003000000006753|553639000|Жаңажол|Жанажольский|1
3039|3037|1|0003000000000098|553639500|Қарашоқы|Карашокы|1
3046|3037|1|0003000000000099|553639100|Мәшһүр Жүсіп|Мәшһүр Жүсіп|1
3069|3037|1|0003000000000100|553639200|Бүркітті|Буркутты|1
3104|2624|3|0003000000006754|553641000|Жаңатілек|Жанатлекский|1
3106|3104|1|0003000000000101|553641100|Жаңатілек|Жанатлек|1
3167|3104|1|0003000000000102|553641500|Мұрынтал|Мурынтал|1
3186|2624|3|0003000000006755|553643000|Қаратомар|Каратомарский|1
3189|3186|1|0003000000000103|553643100|Қаратомар|Каратомар|1
3209|3186|1|0003000000000104|553643200|Белағаш|Белагаш|1
3229|2624|3|0003000000006756|553645000|Құндыкөл|Кундыкольский|1
3232|3229|1|0003000000000105|553645100|Құндыкөл|Кундыколь|1
3291|3229|1|0003000000000106|553645300|Біржанкөл|Биржанколь|1
3317|3229|1|0003000000000107|553645400|Егіндібұлақ|Егиндыбулак|1
3347|2624|3|0003000000006757|553647000|Қүркелі|Куркелинский|1
3352|3347|1|0003000000000108|553647100|Жұмат Шанин|Жұмат Шанин|1
3379|3347|1|0003000000000109|553647300|Шоманкөл|Шоманколь|1
3446|3347|1|0003000000000110|553647500|Желтау|Желтау|1
3451|3347|1|0003000000000111|553647700|Қойтас|Койтас|1
3461|3347|1|0003000000000112|553647800|Жарылғап|Жарылгап|1
3493|2624|3|0003000000006758|553649000|Қызылтау|Кызылтауский|1
3496|3493|1|0003000000000113|553649100|Жүсіпбек Аймауытов|Жусупбека Аймауытова|1
3628|3493|1|0003000000000114|553649280|Ақши|Акши|1
3646|3493|1|0003000000000115|553649980|Үйтас|Үйтас|1
3652|3493|1|0003000000000116|553649500|Лекер|Лекер|1
3668|2624|2|0003000000006555|553655100|Майқайың|Майкаин|1
3785|3668|1|0003000000000117|553655300|Үшқұлын|Ушкулун|1
3787|2624|3|0003000000006759|553657000|Сәтбаев|Сатпаевский|1
3791|3787|1|0003000000000118|553657100|Қаныш Сәтбаев|Қаныш Сәтбаев|1
3841|3787|1|0003000000000119|553657400|Көкдомбақ|Кокдомбак|1
3866|3787|1|0003000000000120|553657500|Мұса Шорман|Мұса Шорман|1
3927|2624|3|0003000000006760|553659000|Торайғыр|Торайгыровский|1
3930|3927|1|0003000000000121|553659100|Торайғыров|Торайгырова|1
4008|3927|1|0003000000000122|553659600|Қызылшілік|Кызылшилик|1
4038|3927|1|0003000000000123|553659200|Қандықарасу|Кандыкарасу|1
4062|2624|3|0003000000006761|553663000|Ұзынбұлак|Узунбулакский|1
4064|4062|1|0003000000000124|553663100|Ұзынбұлақ|Узунбулак|1
4145|4062|1|0003000000000125|553663117|Қарабұлақ|Карабулак|1
4155|4062|1|0003000000000126|553663600|Ақши|Акши|1
4189|3668|1|0003000000000127|553655200|Майкөбе|Майкобе|1
4213|3668|1|0003000000000128|553655500|Сұлужон|Сулужон|1
4232|3668|1|0003000000000129|553655700|Шөптікөл|Шоптыколь|1
4246|2|5|0003000000008476|554200000|Железин|Железинский|1
4259|4246|3|0003000000006763|554230000|Железин|Железинский|1
4266|4259|1|0003000000000130|554230100|Железинка|Железинка|1
4400|4259|1|0003000000000131|554230200|Захаровка|Захаровка|1
4407|4259|1|0003000000000132|554230300|Аққайың|Аққайың|1
4414|4259|1|0003000000000133|554230400|Моисеевка|Моисеевка|1
4437|4259|1|0003000000000134|554230500|Пятерыжск|Пятерыжск|1
4446|4246|3|0003000000006764|554233000|Ақтау|Актауский|1
4448|4446|1|0003000000000135|554233100|Ақтау|Актау|1
4457|4446|1|0003000000000136|554233300|Жолтаптық|Жолтаптык|1
4468|4246|3|0003000000006765|554235000|Алакөл|Алакольский|1
4471|4468|1|0003000000000137|554235100|Алакөл|Алаколь|1
4502|4246|3|0003000000006766|554237000|Башмачин|Башмачинский|1
4507|4502|1|0003000000000138|554237100|Башмачное|Башмачное|1
4528|4502|1|0003000000000139|554237200|Абай|Абай|1
4530|4502|1|0003000000000140|554237300|Береговое|Береговое|1
4538|4502|1|0003000000000141|554237500|Кузьмино|Кузьмино|1
4555|4617|1|0003000000000142|554243300|Уәлиханов|Валиханово|1
4574|4246|3|0003000000006767|554241000|Веселорощин|Веселорощинский|1
4579|4574|1|0003000000000143|554241100|Веселая Роща|Веселая Роща|1
4594|4574|1|0003000000000144|554241200|Дүйсеке|Дюсеке|1
4599|4574|1|0003000000000145|554241300|Жаңабірлік|Жанаберлык|1
4603|4574|1|0003000000000146|554241400|Славяновка|Славяновка|1
4617|4246|3|0003000000006768|554243000|Еңбекші|Енбекшинский|1
4633|4617|1|0003000000000148|554243100|Еңбекші|Енбекши|1
4645|4246|3|0003000000006769|554247000|Қазақстан|Казахстанский|1
4651|4645|1|0003000000000149|554247200|Есқара|Ескара|1
4655|4645|1|0003000000000150|554247300|Екішоқ|Екишок|1
4672|4645|1|0003000000000151|554247100|Жаңа Жұлдыз|Жаңа Жұлдыз|1
4685|4246|3|0003000000006770|554249000|Лесной|Лесной|1
4689|4685|1|0003000000000152|554249100|Лесное|Лесное|1
4708|4685|1|0003000000000153|554249200|Крупское|Крупское|1
4714|4685|1|0003000000000155|554249400|Раздельное|Раздельное|1
4724|4246|3|0003000000006771|554253000|Михайлов|Михайловский|1
4727|4724|1|0003000000000156|554253100|Михайловка|Михайловка|1
4761|4724|1|0003000000000158|554253300|Красновка|Красновка|1
4769|4724|1|0003000000000159|554253400|Мыңкөл|Мынкуль|1
4775|4724|1|0003000000000160|554253500|Петропавловка|Петропавловка|1
4792|4246|3|0003000000006772|554255000|Новомир|Новомирский|1
4795|4792|1|0003000000000161|554255100|Церковное|Церковное|1
4807|4246|3|0003000000006773|554257000|Озерный|Озерновский|1
4810|4807|1|0003000000000162|554257100|Озерное|Озерное|1
4840|4246|3|0003000000006774|554259000|Прииртышск|Прииртышский|1
4845|4840|1|0003000000000165|554259100|Прииртышск|Прииртышск|1
4862|4840|1|0003000000000167|554259300|Груздевка|Груздевка|1
4876|4840|1|0003000000000169|554259500|Урлютюб|Урлютюб|1
4879|2|5|0003000000008477|554600000|Ертіс|Иртышский|1
4893|4879|3|0003000000006775|554630000|Ертіс|Иртышский|1
4895|4893|1|0003000000000170|554630100|Ертіс|Иртышск|1
4953|4879|3|0003000000006776|554633000|Абай|Абайский|1
4955|4953|1|0003000000000171|554633100|Голубовка|Голубовка|1
4981|4879|3|0003000000006777|554635000|Ағашорын|Агашорынский|1
4984|4981|1|0003000000000172|554635100|Ағашорын|Агашорын|1
5016|4879|3|0003000000006778|554639000|Байзақов|Байзаковский|1
5021|5016|1|0003000000000174|554639100|Иса Байзақов|Исы Байзакова|1
5062|5016|1|0003000000000177|554639400|Үлгілі|Ульгули|1
5083|4879|3|0003000000006779|554645000|Қарақұдық|Каракудукский|1
5088|5083|1|0003000000000178|554645100|Қарақұдық|Каракудук|1
5100|5083|1|0003000000000179|554645200|Кеңес|Кенес|1
5104|5083|1|0003000000000180|554645300|Қараөткел|Караоткель|1
5108|5083|1|0003000000000181|554645500|Ынтымақ|Ынтымак|1
5119|5877|1|0003000000000182|554663400|Қосағаш|Косагаш|1
5149|5690|1|0003000000000184|554649100|Қоскөл|Косколь|1
5175|4879|3|0003000000006781|554651000|Қызылжар|Кызылжарский|1
5177|5175|1|0003000000000185|554651100|Қызылжар|Кызылжар|1
5202|5175|1|0003000000000186|554651300|Тоғызақ|Тогызак|1
5212|5690|1|0003000000000187|554649400|Қызылқақ|Кызылкак|1
5233|251513|1|0003000000000188|554637100|Ленино|Ленино|1
5261|5016|1|0003000000000190|554639500|Луговое|Луговое|1
5272|4879|1|0003000000000191|554659100|Майқоңыр|Майконыр|1
5306|5877|1|0003000000000192|554663100|Панфилов|Панфилово|1
5330|4879|3|0003000000006784|554665000|Северный|Северный|1
5336|5330|1|0003000000000193|554665300|Қараағаш|Караагаш|1
5343|5330|1|0003000000000194|554665400|Степное|Степное|1
5351|5330|1|0003000000000196|554665100|Северное|Северное|1
5363|4879|3|0003000000006785|554667000|Сілеті|Селетинский|1
5367|5363|1|0003000000000197|554667100|Сілеті|Селеты|1
5384|5363|1|0003000000000198|554667200|Бұланбай|Буланбай|1
5389|5363|1|0003000000000199|554667300|Қызылағаш|Кызылагаш|1
5397|5877|1|0003000000000200|554663500|Тоқта|Тохта|1
5413|4981|1|0003000000000201|554635300|Ұзынсу|Узынсу|1
5453|251513|1|0003000000000203|554637200|Амангелді|Амангельды|1
5467|2|5|0003000000008478|554800000|Тереңкөл|Тереңкөл|1
5483|5467|3|0003000000006787|554830000|Тереңкөл|Теренкольский|1
5487|5483|1|0003000000000204|554830100|Тереңкөл|Теренколь|1
5563|5483|1|0003000000000205|554830200|Ынталы|Ынталы|1
5565|5483|1|0003000000000206|554830700|Юбилейное|Юбилейное|1
5572|5467|3|0003000000006788|554833000|Байқоныс|Байконысский|1
5576|5572|1|0003000000000207|554833100|Байқоныс|Байконыс|1
5590|5572|1|0003000000000208|554833200|Қызылтаң|Кызылтан|1
5592|5572|1|0003000000000209|554833300|Тілеубай|Тлеубай|1
5609|5467|3|0003000000006789|554835000|Береговой|Береговой|1
5616|5609|1|0003000000000210|554835300|Луговое|Луговое|1
5621|5609|1|0003000000000211|554835400|Осьмерыжск|Осьмерыжск|1
5666|5609|1|0003000000000213|554835200|Зеленая Роща|Зеленая Роща|1
5675|5609|1|0003000000000214|554835100|Береговой|Береговое|1
5690|4879|3|0003000000006790|554649000|Қоскөл|Коскольский|1
5693|5722|1|0003000000000215|554845200|Березовка|Березовка|1
5722|5467|3|0003000000006791|554845000|Воскресенка|Воскресенский|1
5724|5722|1|0003000000000218|554845100|Воскресенка|Воскресенка|1
5750|5467|3|0003000000006792|554847000|Жаңа-Құрылыс|Жанакурлусский|1
5756|5750|1|0003000000000219|554847100|Трофимовка|Трофимовка|1
5770|5750|1|0003000000000220|554847200|Жаңа-Құрылыс|Жанакурлус|1
5783|5750|1|0003000000000222|554847400|Покровка|Покровка|1
5789|5750|1|0003000000000223|554847500|Тегістік|Тегистык|1
5812|5467|3|0003000000006793|554849000|Ивановка|Ивановский|1
5814|5812|1|0003000000000224|554849100|Ивановка|Ивановка|1
5825|5812|1|0003000000000225|554849200|Новоспасовка|Новоспасовка|1
5843|5467|3|0003000000006794|554853000|Калиновка|Калиновский|1
5846|5843|1|0003000000000226|554853100|Калиновка|Калиновка|1
5863|5843|1|0003000000000228|554853300|Қызылдау|Кызылдау|1
5877|4879|3|0003000000006795|554663000|Панфилов|Панфиловский|1
5879|6055|1|0003000000000229|554843700|Фрументьевка|Фрументьевка|1
5898|5467|3|0003000000006796|554859000|Октябрьск|Октябрьский|1
5903|5898|1|0003000000000230|554859100|Октябрьск|Октябрьское|1
5942|5898|1|0003000000000234|554859500|Первомайск|Первомайск|1
5958|5467|3|0003000000006797|554865000|Федоровка|Федоровский|1
5962|5958|1|0003000000000235|554865100|Федоровка|Федоровка|1
5987|5958|1|0003000000000236|554865200|Воронцовка|Воронцовка|1
6006|5467|3|0003000000006798|554839000|Бобровка|Бобровский|1
6009|6006|1|0003000000000238|554839100|Жаңабет|Жанабет|1
6037|6006|1|0003000000000240|554839300|Жасқайрат|Жаскайрат|1
6055|5467|3|0003000000006799|554843000|Верненск|Верненский|1
6058|6055|1|0003000000000241|554843100|Львовка|Львовка|1
6078|5467|3|0003000000006800|554863000|Песчан|Песчанский|1
6082|6078|1|0003000000000243|554863100|Песчан|Песчаное|1
6147|6078|1|0003000000000244|554863300|Қарасуық|Карасук|1
6185|2|5|0003000000008479|555200000|Аққулы|Аққулы|1
6195|6185|3|0003000000006801|555230000|Аққулы|Аққулы|1
6197|6195|1|0003000000000246|555230100|Аққулы|Аққулы|1
6236|6185|3|0003000000006802|555235000|Баймолдин|Баймульдинский|1
6239|6236|1|0003000000000247|555235100|Әбілқайыр Баймолдин атындағы|Имени Абылхаира Баймульдина|1
6257|6236|1|0003000000000248|555235200|Тақыр|Такир|1
6269|6185|3|0003000000006803|555239000|Жамбыл|Жамбылский|1
6273|6269|1|0003000000000250|555239100|Жамбыл|Жамбыл|1
6285|6269|1|0003000000000251|555239200|Жаңатаң|Жанатан|1
6289|6269|1|0003000000000252|555239300|Әйтей|Айтей|1
6314|6467|1|0003000000000254|555255300|Қазы|Казы|1
6342|6185|3|0003000000006804|555245000|Қызылағаш|Кызылагашский|1
6344|6342|1|0003000000000255|555245100|Бесқарағай|Бескарагай|1
6373|6185|3|0003000000006805|555247000|Қарақала|Қарақала|1
6377|6373|1|0003000000000256|555247100|Қарақала|Қарақала|1
6398|6373|1|0003000000000257|555247300|Шәмші|Шамши|1
6402|6373|1|0003000000000258|555247400|Шабар|Шабар|1
6431|6185|3|0003000000006806|555253000|Майқарағай|Майкарагайский|1
6434|6431|1|0003000000000259|555253100|Майқарағай|Майкарагай|1
6451|6431|1|0003000000000260|555253400|Мерғалым|Мергалым|1
6467|6185|3|0003000000006807|555255000|Малыбай|Малыбайский|1
6468|6467|1|0003000000000261|555255100|Малыбай|Малыбай|1
6484|6467|1|0003000000000262|555255200|Қазантай|Казантай|1
6491|6185|3|0003000000006808|555257000|Шақа|Шакинский|1
6495|6491|1|0003000000000263|555257100|Шақа|Шака|1
6509|6491|1|0003000000000265|555257500|Шоқтал|Шоктал|1
6515|6185|3|0003000000006809|555259000|Шарбақты|Шарбактинский|1
6519|6515|1|0003000000000266|555259100|Шарбақты|Шарбакты|1
6545|6515|1|0003000000000267|555259180|Жабағлы|Жабаглы|1
6569|6515|1|0003000000000268|555259200|Төсағаш|Тосагаш|1
6575|6185|3|0003000000006810|555263000|Ямышев|Ямышевский|1
6580|6575|1|0003000000000269|555263300|Қызылқоғам|Кызылкогам|1
6595|6575|1|0003000000000270|555263400|Тілектес|Тлектес|1
6619|6575|1|0003000000000271|555263100|Ямышево|Ямышево|1
6639|2|5|0003000000008480|555600000|Май|Майский|1
6647|6639|3|0003000000006811|555630000|Көктүбек|Коктубекский|1
6648|6647|1|0003000000000272|555630200|Белогорский ХПП|Белогорский ХПП|1
6654|6647|1|0003000000000273|555630100|Көктөбе|Коктобе|1
6711|6639|3|0003000000006812|555633000|Ақжар|Акжарский|1
6713|6711|1|0003000000000274|555633100|Ақжар|Акжар|1
6753|6639|3|0003000000006813|555635000|Ақшиман|Акшиманский|1
6755|6753|1|0003000000000275|555635100|Ақшиман|Акшиман|1
6847|6639|3|0003000000006814|555637000|Баскөл|Баскольский|1
6850|6847|1|0003000000000276|555637100|Баскөл|Басколь|1
6899|6847|1|0003000000000277|555637200|Бозша|Бозша|1
6903|6847|1|0003000000000278|555637300|Жаңатілек|Жанатлек|1
6909|6639|3|0003000000006815|555639000|Кеңтүбек|Кентубекский|1
6913|6909|1|0003000000000279|555639100|Кеңтүбек|Кентубек|1
6949|6909|65|0003000000009484|555639200|1|1|1
6952|6639|3|0003000000006816|555643000|Қазан|Казанский|1
6954|6952|1|0003000000000280|555643100|Жұмыскер|Жумыскер|1
7018|6952|1|0003000000000281|555643300|Қызылеңбек|Кызыленбек|1
7023|6639|3|0003000000006817|555645000|Қаратерек|Каратерекский|1
7028|7023|1|0003000000000282|555645100|Қаратерек|Каратерек|1
7058|7023|1|0003000000000283|555645200|Хасен Сейтказин|Хасена Сейтказина|1
7095|6639|3|0003000000006818|555647000|Май|Майский|1
7098|7095|1|0003000000000284|555647100|Май|Майск|1
7113|7095|56|0003000000008975|555647200|Еңбекші|Енбекши|1
7121|6639|3|0003000000006819|555649000|Майтүбек|Майтубекский|1
7123|7121|1|0003000000000285|555649100|Майтүбек|Майтубек|1
7142|6639|3|0003000000006820|555651000|Малайсары|Малайсаринский|1
7143|7142|65|0003000000009485|555651200|1|1|1
7145|7142|65|0003000000009486|555651300|2|2|1
7148|7142|1|0003000000000286|555651100|Малайсары|Малайсары|1
7209|6639|3|0003000000006821|555653000|Саты|Сатинский|1
7210|7209|1|0003000000000287|555653300|Абай|Абай|1
7220|7209|1|0003000000000288|555653100|Саты|Саты|1
7250|2|5|0003000000008481|556000000|Павлодар|Павлодарский|1
7267|7765|1|0003000000000289|556065600|Пресное|Пресное|1
7290|7250|3|0003000000006822|556035000|Григорьевка|Григорьевский|1
7293|7290|1|0003000000000290|556035100|Набережное|Набережное|1
7311|7290|1|0003000000000291|556035200|Жаңа Қала|Жана Кала|1
7335|7250|3|0003000000006823|556037000|Ефремовка|Ефремовский|1
7337|7335|1|0003000000000292|556037100|Ефремовка|Ефремовка|1
7373|7335|1|0003000000000293|556037200|Даниловка|Даниловка|1
7379|9103|1|0003000000000294|551049100|Жетекші|Жетекши|1
7411|7250|3|0003000000006824|556043000|Заңғар|Зангарский|1
7414|7411|1|0003000000000295|556043100|Заңғар|Зангар|1
7429|7411|1|0003000000000296|556043400|Коряковка|Коряковка|1
7449|7250|3|0003000000006825|556045000|Заря|Заринский|1
7453|7449|1|0003000000000297|556045100|Заря|Заря|1
7471|7449|1|0003000000000298|556045200|Бірлік|Бирлик|1
7477|7449|1|0003000000000299|556045300|Жертұмсық|Жертумсык|1
7481|7449|1|0003000000000300|556045400|Подстепное|Подстепное|1
7495|7250|3|0003000000006826|556047000|Кеңес|Кенесский|1
7499|7495|1|0003000000000301|556047100|Новоямышево|Новоямышево|1
7544|7495|1|0003000000000302|556047200|Әйтім|Айтим|1
7552|7495|1|0003000000000303|556047300|Қаратоғай|Каратогай|1
7569|7250|3|0003000000006827|556049000|Кемеңгер|Кемеңгер|1
7572|7569|1|0003000000000304|556049100|Кемеңгер|Кемеңгер|1
7612|7569|1|0003000000000305|556049400|Шаңды|Шанды|1
7627|7250|3|0003000000006828|556053000|Луганск|Луганский|1
7631|7627|1|0003000000000306|556053100|Луганск|Луганск|1
7644|7627|1|0003000000000307|556053200|Богдановка|Богдановка|1
7646|7627|1|0003000000000308|556053300|Аққұдық|Аккудык|1
7652|7250|3|0003000000006829|556055000|Мичурин|Мичуринский|1
7655|7652|1|0003000000000309|556055100|Мичурино|Мичурино|1
7672|7652|1|0003000000000310|556055200|Госплемстанция|Госплемстанция|1
7700|7652|1|0003000000000311|556055300|Үміт апа|Үміт апа|1
7706|7250|1|0003000000000312|556057100|Ольгинка|Ольгинка|1
7717|7250|3|0003000000006830|556059000|Рождественка|Рождественский|1
7721|7717|1|0003000000000313|556059100|Розовка|Розовка|1
7732|7717|1|0003000000000314|556059200|Рождественка|Рождественка|1
7743|7717|1|0003000000000315|556059300|Максимовка|Максимовка|1
7753|7868|1|0003000000000316|556069500|Маралды|Маралды|1
7765|7250|3|0003000000006831|556065000|Чернорецк|Чернорецкий|1
7767|7765|1|0003000000000317|556065100|Чернорецк|Чернорецк|1
7790|7765|1|0003000000000318|556065200|Достық|Достык|1
7796|7765|1|0003000000000319|556065300|Қаракөл|Караголь|1
7821|7250|3|0003000000006832|556067000|Черноярка|Черноярский|1
7824|7821|1|0003000000000320|556067100|Новочерноярка|Новочерноярка|1
7835|7821|1|0003000000000321|556067200|Сычевка|Сычевка|1
7847|7821|1|0003000000000322|556067300|Черноярка|Черноярка|1
7868|7250|3|0003000000006833|556069000|Шақат|Шакатский|1
7872|7868|1|0003000000000323|556069100|Шақат|Шакат|1
7888|7868|1|0003000000000324|556069200|Заозерное|Заозерное|1
7890|7868|1|0003000000000325|556069300|Көктөбе|Коктобе|1
7893|7868|1|0003000000000326|556069400|Толыбай|Толубай|1
